Firm*,First Name*,Last Name*,Email Address*,Preferred Language*,Default Module,User ID*,SecureZone ID,OSS User ID,CR2 User ID,SSO User ID,Role*,Firm Level Access*,RR Code Assignment,Module Overrides,Features
ACAD,Candi,acad,candi.so@nbc.ca,EN,firm_client_accounts,candi.acad2.uat,"SOC,SOC2",compxtr,IAN.FUNG,,ManageServicingAndTrades,FALSE,WIAA-WI99,"questionnaire_applications,paper_upload_menu",
ACAD,Candi,Acad,candi.so@bnc.ca,EN,firm_client_accounts,candi.acad1.uat,,,Dec2.Août,,ManageAllButNotTrade_v1.16,TRUE,WIAA-WI99,"questionnaire_applications,paper_upload_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACAD,Candi,Acad,candi.so@nbc.ca,EN,firm_client_accounts,candi.acad.uat,"SOC2,SOCA2",COMPXTR,bernard.piché,,ManageOrdersAndTrades,TRUE,WIAA-WI99,"tax_documents_menu,tools_menu","mf_product,view_system_events,equity_product"
ACAD,Sasha,Test,s@s.com,EN,firm_client_accounts,sasha.test.uat,,,,,ManageTransactions_V1.17,TRUE,WIAA-WI99,"paper_upload_menu,gic_management_menu,statements_menu,tax_documents_menu,trade_confirmations_menu,mf_orders_upload",
ACAD,TestFN1,LN1,harsha.adusumilli@nbc.ca,EN,users_module,testfn1.ln1.uat,adha0001,,,,ManageFirmAndUser_V1.17,TRUE,WIAA-WI99,,
ACAD,Testing,FUm451668,testingfum10@gmail.com,EN,firm_client_accounts,testing.fum4516682.uat,adha0001,,,,ManageFirmAndUser_V1.17,TRUE,WIAA-WI99,"paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1003,bulktestinguser1003@gmail.com,EN,firm_client_accounts,TestFum17863.QA17863.uat,SZ1,,TestFum17863.QA17863,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1008,bulktestinguser1008@gmail.com,EN,firm_client_accounts,TestFum96973.QA96973.uat,SZ1,,TestFum96973.QA96973,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1013,bulktestinguser1013@gmail.com,EN,firm_client_accounts,TestFum82848.QA82848.uat,SZ1,,TestFum82848.QA82848,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
ACKER,Bulk,TestingUser1018,bulktestinguser1018@gmail.com,EN,firm_client_accounts,TestFum56835.QA56835.uat,SZ1,,TestFum56835.QA56835,,ManageFirmAndUser_V1.17,FALSE,QNAA-QNAA,"orders_module,paper_upload_menu,feature_menu,statements_menu,tax_documents_menu,trade_confirmations_menu",
